CPU,Elbrus 1C+,Elbrus 4C,Elbrus 8C,Elbrus 8C (RTC X86),Elbrus 8CB (RTC X86),Pentium 4 2800,Atom X5 Z8350,Atom X5 Z8350,Pentium T8400,Core i3 M330,Core i3 M330,AMD A6 3650,Core i5 4460,Core i7 2600,Core i7 2600,Allwinner A64,Allwinner A64,Amlogic S922X
OS,Unix 4.9.0.4,Unix 4.9.0.4,Unix 4.19.0.1,Unix 4.19.0.1,Unix 5.4.0.1,Unix 5.4.0.48,Microsoft Windows NT 6.2.9200.0,Microsoft Windows NT 6.2.9200.0,Unix 5.4.0.47,Microsoft Windows NT 6.2.9200.0,Microsoft Windows NT 6.2.9200.0,Unix 5.4.0.48,Microsoft Windows NT 6.1.7601 Service Pack 1,Microsoft Windows NT 6.2.9200.0,Microsoft Windows NT 6.2.9200.0,Unix 4.14.44.64,Unix 4.14.44.64,Unix 4.9.230.76
Runtime,4.0.30319.42000,4.0.30319.42000,4.0.30319.42000,3.1.1,3.1.1,4.0.30319.42000,4.0.30319.42000,3.1.8,4.0.30319.42000,4.0.30319.42000,3.1.3,4.0.30319.42000,4.0.30319.42000,4.0.30319.42000,3.1.1,4.0.30319.17020,3.1.1,4.0.30319.42000
Threads,1,4,8,8,8,1,4,4,2,4,4,4,4,8,8,4,4,6
Used memory (bytes),0,0,0,2018385920,2077966336,0,968081408,1017798656,0,341356544,53878784,0,18554880,3815632896,1816506368,0,686247936,0
MemoryBenchmark,760.14,622.24,685.80,2422.27,2891.87,1898.20,2722.99,2352.93,4087.59,11077.00,5200.87,3859.76,8186.80,12330.27,9802.08,447.93,701.25,1257.51
ParallelMemoryBenchmark,761.32,2414.69,4603.87,16957.66,20658.81,2053.45,8506.48,7609.98,7051.09,17913.30,8142.90,14326.32,28198.26,41026.21,33404.25,1564.49,2092.21,6621.61
RandomMemoryBenchmark,435.22,338.56,588.17,2099.81,2620.34,1366.04,1755.61,1569.19,2682.57,3967.03,2183.32,2287.64,7822.70,9929.41,5325.75,261.84,351.96,1357.76
ParallelRandomMemoryBenchmark,432.84,2017.68,6468.92,23310.51,27765.76,1436.56,11133.39,10272.32,7793.85,12790.70,8603.97,15015.87,60364.21,64813.43,44307.60,2217.48,2983.75,9839.12
Scimark2Benchmark,567.95,389.98,743.62,1602.46,1691.94,1253.99,1435.89,1508.57,2507.98,2778.18,2505.88,2142.08,5525.90,5847.06,5757.59,330.27,462.51,1253.99
ParallelScimark2Benchmark,567.95,1673.70,5814.07,12390.16,12876.85,1253.99,5743.56,5743.56,5015.95,5743.56,5306.66,8131.40,21821.16,26921.01,25957.53,1321.10,1883.59,5691.26
DhrystoneBenchmark,188.96,143.43,218.55,5755.26,5058.62,735.34,2784.29,3123.51,1306.77,2604.44,1964.71,1019.92,15392.15,5101.88,5459.31,207.17,1803.07,785.43
ParallelDhrystoneBenchmark,188.96,573.71,1723.39,38069.44,48628.34,730.79,10693.23,11742.74,2397.27,3911.21,4068.30,3776.89,57757.54,20874.22,20749.00,764.94,6697.78,4136.60
WhetstoneBenchmark,469.62,357.30,833.15,376.47,407.61,412.62,940.33,1105.60,2068.04,1769.97,1652.29,1547.00,2719.55,3043.93,3681.81,455.98,388.74,500.83
ParallelWhetstoneBenchmark,388.83,1206.25,5127.83,8108.30,9430.39,548.21,3955.52,4656.08,3923.04,4171.13,4817.22,5990.89,9328.49,18751.93,22840.84,1342.66,2376.01,4909.97
ArithemticsBenchmark,111.34,84.81,142.69,3452.37,4036.59,45.47,999.72,843.85,272.51,1812.49,1190.11,178.11,3256.83,4289.95,4349.14,150.75,296.73,316.23
ParallelArithemticsBenchmark,281.14,855.99,2909.45,29867.62,35469.08,211.19,3765.26,4222.82,3546.56,3108.32,3408.16,4792.36,13089.84,18593.81,17479.06,546.81,1416.41,2868.45
MathBenchmark,486.82,373.61,637.97,727.87,855.71,629.40,911.21,815.32,2334.08,2293.70,1772.34,1707.83,4002.56,4323.03,4759.68,489.01,556.92,1314.58
ParallelMathBenchmark,489.24,1493.84,5011.26,5350.82,7110.93,622.19,3674.23,3138.42,4315.21,4860.99,3889.19,6699.91,14202.83,23102.72,21920.96,1804.51,2124.36,7018.97
CallBenchmark,393.50,299.63,463.67,12801.83,15289.98,2314.05,2762.38,2780.03,2403.37,2138.95,1822.57,3190.05,3870.43,4147.75,3949.32,601.68,711.39,1637.24
IfElseBenchmark,578.74,440.61,763.63,3691.38,4402.63,759.79,1220.58,1220.11,2403.80,1780.26,1600.94,2095.29,3281.63,3238.56,3354.13,356.41,473.46,1036.86
StringManipulation,323.07,248.85,303.84,1765.31,1856.23,860.94,1229.26,1950.88,1276.23,2754.18,3680.63,1095.26,4784.59,4643.01,6411.47,437.34,846.89,1021.18
ParallelStringManipulation,322.18,943.09,2154.68,2020.58,2311.31,863.34,1847.18,2273.31,2390.88,2853.96,3440.47,4121.52,3820.96,4890.19,5773.23,1520.99,1309.55,4818.13
HashBenchmark,373.05,290.95,456.06,0,0,614.49,549.50,620.60,1588.19,1367.62,1876.64,1406.19,2674.67,2464.86,3231.08,251.70,564.13,695.25
ParallelHashBenchmark,372.57,992.32,2392.49,0,0,612.40,1151.26,1369.97,2679.98,1586.14,2291.17,3209.11,2324.80,3027.87,6174.11,876.97,1363.53,2737.16
Total Time,00:37:15.888326,00:43:36.2512100,00:31:11.0822066,00:17:59.0317801,00:16:23.5990174,00:22:55.1620990,00:15:12.2840814,00:14:52.1142341,00:10:25.6326881,00:11:26.7218146,00:11:09.3359398,00:12:27.4148433,00:08:06.1385468,00:08:42.5798085,00:07:52.4787402,00:37:32.6611270,00:26:08.7260569,00:18:32.5223880

