Cpu,Elbrus 8C,Elbrus 8C,Elbrus 8CB,Allwinner A64,Intel Atom X5 Z8350,Intel Atom X5 Z8350,Intel Core i3 M330,Intel Core i3 M330,Amd A6 3650,Amd A6 3650,Intel Core i7 2600,Intel Core i7 2600
Frequency,1300,1300,1550,1152,1440,1440,2130,2130,2660,2660,3400,3400
Operating System,Unix 4.19.0.1,Unix 4.19.0.1,Unix 5.4.0.1,Unix 4.14.44.64,Microsoft Windows NT 6.2.9200.0,Microsoft Windows NT 10.0.17763.0,Microsoft Windows NT 6.2.9200.0,Microsoft Windows NT 10.0.18362.0,Unix 5.4.0.51,Unix 5.4.0.51,Microsoft Windows NT 6.2.9200.0,Microsoft Windows NT 6.2.9200.0
Runtime,4.0.30319.42000,NetCore 3.1.4 (RTC x86),NetCore 3.1.6 (RTC x86),4.0.30319.17020,4.0.30319.42000,NetCore 3.1.8,4.0.30319.42000,NetCore 3.1.3,4.0.30319.42000,NetCore 3.1.1,4.0.30319.42000,NetCore 3.1.1
Threads Count,8,8,8,4,4,4,4,4,4,4,8,8
Memory Used,0,2362408960,2380783616,0,2127478784,1124458496,623116288,1124110336,0,1198948352,3467759616,2106949632
ArithemticsBenchmark (Iter/s),4755942.36,112107200.19,132875156.17,5032008.47,33640155.47,28316564.92,71766787.79,67165610.13,5888357.82,61276579.89,142318892.80,139398390.00
ParallelArithemticsBenchmark (Iter/s),11853423.18,117270015.03,148628854.23,4637858.89,32210118.54,35438868.33,34640922.70,38591843.82,28816081.49,57968393.31,76482092.94,68419477.90
MathBenchmark (Iter/s),1275834.03,1458574.64,2009156.77,965684.06,2100502.84,1840700.19,4985436.48,4003896.28,3538260.34,3467831.59,8487850.01,9257156.98
ParallelMathBenchmark (Iter/s),1240840.36,1407533.63,1710285.39,910857.03,2100277.57,1807213.36,2688068.60,2069191.75,2996490.12,2687106.05,5699734.33,5409691.21
CallBenchmark (Iter/s),81142021.70,43691655.57,52172333.49,7988480.18,66075080.83,69707585.74,71183388.13,84265325.39,33915665.08,73948127.81,137005911.04,147498693.92
ParallelCallBenchmark (Iter/s),19965213.53,41801299.25,51925427.16,6493276.33,64876516.20,68604788.53,65649229.01,58796891.31,23818753.43,61551182.18,128816109.62,132973724.51
IfElseBenchmark (Iter/s),76368338.20,369052810.83,440085292.05,35574692.53,122382225.08,122446834.27,192617413.70,165452978.07,186225454.37,179526702.98,331131288.19,331922034.04
ParallelIfElseBenchmark (Iter/s),72836094.62,351711959.72,436938052.61,31986726.28,120545480.60,119899967.94,115456660.56,120261358.24,135438638.48,128884892.74,273941467.23,252491599.73
StringManipulation (Iter/s),30161.66,194087.45,211875.55,44510.57,140660.24,201869.44,226490.84,381678.06,111408.38,407545.97,541071.45,742029.57
ParallelStringManipulation (Iter/s),24993.46,26962.18,32869.46,38177.94,52448.92,57498.14,70272.87,93497.43,62291.84,62665.53,75575.55,81750.73
MemoryBenchmark (MB/s),686.04,2440.99,2858.39,446.40,2773.08,2385.08,5832.27,4393.45,3525.38,5087.14,12098.99,9718.41
ParallelMemoryBenchmark (MB/s),4600.33,16783.15,20078.20,1501.81,8522.00,8083.16,8796.18,8406.69,11335.19,16268.24,41043.92,36871.38
RandomMemoryBenchmark (MB/s),298.75,1048.21,1275.25,132.68,892.06,793.29,1988.76,1360.13,1073.26,1397.58,4944.93,2671.33
ParallelRandomMemoryBenchmark (MB/s),3216.11,11799.91,14375.81,1107.29,5820.38,5400.44,5380.22,4341.31,5221.98,7154.81,32281.19,23490.35
Scimark2Benchmark (CompositeScore),74.36,164.72,179.26,33.03,143.59,150.86,255.06,239.00,203.29,321.42,584.71,584.71
ParallelScimark2Benchmark (CompositeScore),583.97,1177.67,1261.84,130.74,574.36,574.36,574.36,530.67,541.02,914.35,2560.07,2852.68
DhrystoneBenchmark (DMIPS),56.92,1309.62,1552.65,52.93,746.16,981.22,1319.86,1677.86,245.87,2294.82,2899.26,3643.71
ParallelDhrystoneBenchmark (DMIPS),443.94,10672.17,12711.44,193.51,2994.31,3784.86,2287.42,3058.05,645.42,3183.84,9900.40,13703.47
WhetstoneBenchmark (MWIPS),831.93,326.68,357.01,454.87,976.28,1169.49,1809.24,2149.08,1544.08,1853.38,3016.39,3645.66
ParallelWhetstoneBenchmark (MWIPS),5122.33,7813.58,9441.68,1346.53,4159.10,5022.90,4211.35,4856.44,5204.05,5773.80,18956.97,22593.61
LinpackBenchmark (MFLOPS),80.93,133.53,130.28,60.70,296.74,296.74,667.67,593.48,356.09,593.48,1335.33,1335.33
ParallelLinpackBenchmark (MFLOPS),517.18,746.43,699.09,200.64,562.24,521.10,928.93,890.22,971.15,1005.84,2072.95,2047.51
HashBenchmark (Iter/s),40086.89,0,0,23782.26,83339.54,67154.95,122028.68,155054.23,114473.36,262537.42,271587.13,344935.39
ParallelHashBenchmark (Iter/s),17235.17,0,0,17804.97,32438.43,38356.83,42936.12,55409.66,43528.80,63914.10,43709.09,86951.77
Total Points,50222.5881889278,196746.420059512,234814.32760999494,17578.4325440333,80622.1956314293,84512.14869627163,97822.2925731153,98492.23121080427,76744.4854047981,125713.98893637424,352806.100900064,352445.8684492164
Total Time (ms),2159060.7368,1259389.7886,1143765.6801,2834386.8192,932882.1012,939013.7333,710849.384,678650.9207,984340.1488,705450.9916,531086.4034,488755.2673
