Cpu,Architecture,Frequency (MHz),Operating System,Runtime,Threads Count,Memory Used,ArithemticsBenchmark (Iter/s),MathBenchmark (Iter/s),CallBenchmark (Iter/s),IfElseBenchmark (Iter/s),StringManipulation (Iter/s),MemoryBenchmark (MB/s),RandomMemoryBenchmark (MB/s),Scimark2Benchmark (CompositeScore),DhrystoneBenchmark (DMIPS),WhetstoneBenchmark (MWIPS),LinpackBenchmark (MFLOPS),HashBenchmark (Iter/s),Total Points,Total Time (ms)
Elbrus 2C+ 500,e2k,500,Linux 3.14,PHP 5.6.32,2,1042200,142719.59,36318.50,303213.70,420612.72,18702.54,6.45,4.32,0.82,3.63,5.97,0.86,34283.55,611.84,9801959
Elbrus 1C+ 985,e2k,985,Linux 4.9,PHP 5.6.40,1,0,319560.17,89813.61,634800.40,767508.47,44317.84,10.74,7.31,1.61,9.26,12.48,1.08,59558.08,1209.27,1779432.31
Elbrus 4C 750,e2k,750,Linux 5.4,PHP 7.4.7,4,911016,383991.32,181949.77,1149620.29,1041343.04,88912.44,19.31,12.14,2.59,19.16,19.98,2.29,116083.42,2363.35,3494809
Elbrus 8C 1300,e2k,1300,Linux 4.19,PHP 7.0.33,8,819832,617263.05,286350.25,1659325.34,1817852.75,148213.59,30.70,20.91,3.93,29.23,33.92,3.26,183900.25,3812.85,2423102
Elbrus 8C 1200 (8x4),x86 -> e2k,1200,Linux 5.4,PHP 5.6.40 (RTC),32,1043720,384343.89,114181.32,726704.27,716329.48,52147.26,11.34,8.13,1.54,7.20,11.46,1.41,67243.25,1374.27,5576106
Elbrus 8CB 1550,e2k,1550,Linux 5.4,PHP 7.0.33,8,819352,749256.74,324610.74,1931974.93,2154097.36,145364.68,35.72,24.12,4.62,34.20,40.00,3.76,208151.41,4105.36,2115720
Elbrus 8CB 1550,x86 -> e2k,1550,Linux 5.4,PHP 5.6.40 (RTC),8,1042848,465076.93,134177.15,876784.95,882191.14,61546.62,14.01,9.30,1.97,8.91,14.29,1.78,77501.57,1609.16,4493153
Elbrus R1000,sparc,1000,Linux 4.19,PHP 5.6.40,0,600536,178783.97,50534.36,396104.81,620425.45,25724.06,4.71,3.28,1.30,4.99,8.31,1.23,38454.62,747.45,6927020
Allwinner A64,arm,1152,Linux 4.14,PHP 7.0.33,4,820040,450323.43,221437.45,1575234.52,1553030.63,110947.27,37.40,18.56,3.76,21.82,29.98,3.73,132814.13,2859.81,2290488
Qualcomm 625,arm,2000,Linux 3.18,PHP 7.4.11,8,910328,729296.64,256723.48,2631036.85,2216811.60,158212.78,52.69,25.61,6.13,30.46,40.46,5.78,164294.12,3809.13,1566910
Intel Pentium 4 2800,x86,2800,Linux 5.4.0-48-generic,PHP 7.2.24-0ubuntu0.18.04.6,1,762584,1137386.12,509040.06,5817901.37,3621300.15,184990.53,62.38,25.14,13.09,58.27,97.93,13.84,253137.60,5477.32,807552
AMD A6 3650,x86-64,2600,Linux 5.4,PHP 7.4.3,4,922704,2173444.16,1302354.33,15927623.80,10571385.98,500103.50,243.83,113.67,29.56,148.27,197.07,33.22,484949.78,12720.96,421390
Intel Core i7 2600,x86-64,3400,Windows NT 10.0,PHP 5.6.20,8,999032,2267184.86,860180.42,6820440.52,6119118.18,230714.99,79.96,24.96,14.58,73.87,108.57,13.97,579292.15,9547.03,732254
Intel Core i7 2600,x86-64,3400,Windows NT 10.0,PHP 7.0.33,8,822640,2179780.43,1361139.41,10520494.07,6566458.77,181838.74,230.96,134.79,19.83,98.99,157.55,21.76,682330.72,11028.50,476142
Elbrus 16C 2000,e2k,2000,Linux 5.4.0-3.9-e16c,PHP 7.4.7,16,911080,924618,397673,2650765,2316381,191943,44,30,5.4,43.7,46.67,4.65,265441,5278.32,1737969
Elbrus 16C 2000,x86 -> e2k,2000,Linux 5.4.0-3.9-e16c,PHP 7.4.3,16,911192,1461236.68,648108.74,5499959.05,4459952.39,208618.53,105.24,40.61,6.98,37.32,48.19,4.73,205734.24,5112.02,1553828d
Baikal M,arm,1500,Linux 4.9.229-bmitx-def-alt1,PHP 7.3.27,8,851536,1163261.37,493869.51,5132566.49,3801126.79,271073.96,106.74,36.49,10.89,44.56,77.08,12.64,249585.33,6248.18,863233
