Cpu,Architecture,Frequency (MHz),Operating System,Runtime,Memory Used,ArithemticsBenchmark (Iter/s),MathBenchmark (Iter/s),CallBenchmark (Iter/s),IfElseBenchmark (Iter/s),StringManipulation (Iter/s),MemoryBenchmark (MB/s),RandomMemoryBenchmark (MB/s),Scimark2Benchmark (CompositeScore),DhrystoneBenchmark (DMIPS),WhetstoneBenchmark (MWIPS),LinpackBenchmark (MFLOPS),HashBenchmark (Iter/s),Total Points,Total Time (ms)
Elbrus 2C+ 467,e2k,467,Linux 3.14,PHP 5.6.32,1042200,142719.59,36318.50,303213.70,420612.72,18702.54,6.45,4.32,0.82,3.63,5.97,0.86,34283.55,611.84,9801959
Elbrus 1C+ 985,e2k,985,Linux 4.9,PHP 5.6.40,0,319560.17,89813.61,634800.40,767508.47,44317.84,10.74,7.31,1.61,9.26,12.48,1.08,59558.08,1209.27,1779432.31
Elbrus 4C 750,e2k,750,Linux 5.4,PHP 7.4.7,911016,383991.32,181949.77,1149620.29,1041343.04,88912.44,19.31,12.14,2.59,19.16,19.98,2.29,116083.42,2363.35,3494809
Elbrus 8C 1300,e2k,1300,Linux 4.19,PHP 7.0.33,819832,617263.05,286350.25,1659325.34,1817852.75,148213.59,30.70,20.91,3.93,29.23,33.92,3.26,183900.25,3812.85,2423102
Elbrus 8CB 1550,e2k,1550,Linux 5.4,PHP 7.0.33,819352,749256.74,324610.74,1931974.93,2154097.36,145364.68,35.72,24.12,4.62,34.20,40.00,3.76,208151.41,4105.36,2115720
Elbrus R1000,sparc,1000,Linux 4.19,PHP 5.6.40,600536,178783.97,50534.36,396104.81,620425.45,25724.06,4.71,3.28,1.30,4.99,8.31,1.23,38454.62,747.45,6927020
Baikal M,arm,1500,Linux 4.9.229-bmitx-def-alt1,PHP 7.3.27,851536,1163261.37,493869.51,5132566.49,3801126.79,271073.96,106.74,36.49,10.89,44.56,77.08,12.64,249585.33,6248.18,863233
Allwinner A64,arm,1152,Linux 4.14,PHP 7.0.33,820040,450323.43,221437.45,1575234.52,1553030.63,110947.27,37.40,18.56,3.76,21.82,29.98,3.73,132814.13,2859.81,2290488
Intel Pentium 4 2800,x86,2800,Linux 5.4.0-48-generic,PHP 7.2.24-0,762584,1137386.12,509040.06,5817901.37,3621300.15,184990.53,62.38,25.14,13.09,58.27,97.93,13.84,253137.60,5477.32,807552
Intel Core i7 2600,x86-64,3400,Windows NT 10.0,PHP 7.0.33,822640,2179780.43,1361139.41,10520494.07,6566458.77,181838.74,230.96,134.79,19.83,98.99,157.55,21.76,682330.72,11028.50,476142
