Cpu,Frequency,Operating System,Runtime,Threads Count,Memory Used,ArithemticsBenchmark (Iter/s),MathBenchmark (Iter/s),CallBenchmark (Iter/s),IfElseBenchmark (Iter/s),StringManipulation (Iter/s),MemoryBenchmark (MB/s),RandomMemoryBenchmark (MB/s),Scimark2Benchmark (CompositeScore),DhrystoneBenchmark (DMIPS),WhetstoneBenchmark (MWIPS),LinpackBenchmark (MFLOPS),HashBenchmark (Iter/s),Total Points,Total Time (ms)
Elbrus 2C+,500,Linux e2k,Lua 5.1,1,0,315955.15,71120.99,490871.14,1074574.84,8916.07,11.08,6.68,1.76,8.66,1.68,1.45,105.62,243.72,5476207
Elbrus 1C+,985,Linux e2k,Lua 5.1,1,0,788179.58,194530.15,1238255.03,2587166.22,25040.90,24.38,15.31,4.31,24.31,4.47,3.45,264.84,646.62,2191836
Elbrus 4C,750,Linux e2k,Lua 5.1,1,0,486316.97,120728.19,757266.99,1575828.19,15501.22,15.55,9.64,2.65,14.92,2.84,2.15,161.94,400.33,3519545
Elbrus 8C,1300,Linux e2k,Lua 5.1,1,0,810810.81,192307.69,2173913.04,2597402.60,25000.00,25.08,14.67,4.34,24.37,4.70,3.54,261.78,656.18,2123000
Elbrus 8C (RTC),1300,Linux x86_64,Lua 5.1,1,0,1034482.76,173913.04,1960784.31,2439024.39,29411.76,25.19,14.68,3.87,20.22,3.64,3.33,234.19,669.52,2340000
Elbrus 8CB,1550,Linux e2k,Lua 5.1,1,0,1000000.00,238095.24,2631578.95,3333333.33,31250.00,29.80,19.00,5.23,29.88,5.81,4.25,328.95,812.45,1727000
Elbrus 8CB (RTC),1550,Linux x86_64,Lua 5.1,1,0,1200000.00,210526.32,2564102.56,4545454.55,38461.54,30.69,18.34,4.79,25.81,4.95,4.15,298.95,864.88,1841000
Mediatek 6582,1200,Linux arm,Lua 5.2,1,0,209790.21,50251.26,2083333.33,1481481.48,15625.00,15.06,10.42,2.00,17.27,2.81,1.68,625.00,374.19,2745000
Allwinner A64,1152,Linux arm,Lua 5.1,1,0,833333.33,194174.76,2597402.60,2898550.72,25000.00,34.04,16.00,5.15,23.76,4.27,4.42,250.31,690.63,2074000
Qualcomm 625,2000,Linux arm,Lua 5.2,1,0,1071428.57,235294.12,3846153.85,4081632.65,33333.33,52.05,21.06,7.21,37.08,6.68,6.11,1459.85,959.32,1041000
Amd A6 3650,2600,Linux x86_64,Lua 5.2,1,0,2727272.73,689655.17,10526315.79,10526315.79,100000.00,123.53,60.88,15.69,78.50,15.45,13.91,3921.57,2547.17,459000
Intel Core i3 M330,2133,Windows x86_64,Lua 5.1,1,0,1814772.25,471820.52,3906021.13,7260582.30,78827.05,88.11,53.28,9.73,48.50,10.84,8.48,536.46,1777.22,990367
Intel Core i7 2600,3400,Windows x86,Lua 5.1,1,0,4065591.54,1030555.98,8421052.63,12928248.22,159948.82,238.37,142.59,24.49,123.56,25.88,18.50,1136.65,3935.14,468832
