Cpu,Elbrus 2C+,Elbrus 1C+,Elbrus 4C,Elbrus 8C,Elbrus 8C (RTC),Elbrus 8CB,Elbrus 8CB (RTC),Mediatek 6582,Allwinner A64,Qualcomm 625,Amd A6 3650,Intel Core i3 M330,Intel Core i7 2600
Frequency,500,985,750,1300,1300,1550,1550,1200,1152,2000,2600,2133,3400
Operating System,Linux e2k,Linux e2k,Linux e2k,Linux e2k,Linux x86_64,Linux e2k,Linux x86_64,Linux arm,Linux arm,Linux arm,Linux x86_64,Windows x86_64,Windows x86
Runtime,Lua 5.1,Lua 5.1,Lua 5.1,Lua 5.1,Lua 5.1,Lua 5.1,Lua 5.1,Lua 5.2,Lua 5.1,Lua 5.2,Lua 5.2,Lua 5.1,Lua 5.1
Threads Count,1,1,1,1,1,1,1,1,1,1,1,1,1
Memory Used,0,0,0,0,0,0,0,0,0,0,0,0,0
ArithemticsBenchmark (Iter/s),315955.15,788179.58,486316.97,810810.81,1034482.76,1000000.00,1200000.00,209790.21,833333.33,1071428.57,2727272.73,1814772.25,4065591.54
MathBenchmark (Iter/s),71120.99,194530.15,120728.19,192307.69,173913.04,238095.24,210526.32,50251.26,194174.76,235294.12,689655.17,471820.52,1030555.98
CallBenchmark (Iter/s),490871.14,1238255.03,757266.99,2173913.04,1960784.31,2631578.95,2564102.56,2083333.33,2597402.60,3846153.85,10526315.79,3906021.13,8421052.63
IfElseBenchmark (Iter/s),1074574.84,2587166.22,1575828.19,2597402.60,2439024.39,3333333.33,4545454.55,1481481.48,2898550.72,4081632.65,10526315.79,7260582.30,12928248.22
StringManipulation (Iter/s),8916.07,25040.90,15501.22,25000.00,29411.76,31250.00,38461.54,15625.00,25000.00,33333.33,100000.00,78827.05,159948.82
MemoryBenchmark (MB/s),11.08,24.38,15.55,25.08,25.19,29.80,30.69,15.06,34.04,52.05,123.53,88.11,238.37
RandomMemoryBenchmark (MB/s),6.68,15.31,9.64,14.67,14.68,19.00,18.34,10.42,16.00,21.06,60.88,53.28,142.59
Scimark2Benchmark (CompositeScore),1.76,4.31,2.65,4.34,3.87,5.23,4.79,2.00,5.15,7.21,15.69,9.73,24.49
DhrystoneBenchmark (DMIPS),8.66,24.31,14.92,24.37,20.22,29.88,25.81,17.27,23.76,37.08,78.50,48.50,123.56
WhetstoneBenchmark (MWIPS),1.68,4.47,2.84,4.70,3.64,5.81,4.95,2.81,4.27,6.68,15.45,10.84,25.88
LinpackBenchmark (MFLOPS),1.45,3.45,2.15,3.54,3.33,4.25,4.15,1.68,4.42,6.11,13.91,8.48,18.50
HashBenchmark (Iter/s),105.62,264.84,161.94,261.78,234.19,328.95,298.95,625.00,250.31,1459.85,3921.57,536.46,1136.65
Total Points,243.72,646.62,400.33,656.18,669.52,812.45,864.88,374.19,690.63,959.32,2547.17,1777.22,3935.14
Total Time (ms),5476207,2191836,3519545,2123000,2340000,1727000,1841000,2745000,2074000,1041000,459000,990367,468832
