Cpu,Frequency,Operating System,Runtime,Threads Count,Memory Used,ArithemticsBenchmark (Iter/s),ParallelArithemticsBenchmark (Iter/s),MathBenchmark (Iter/s),ParallelMathBenchmark (Iter/s),CallBenchmark (Iter/s),ParallelCallBenchmark (Iter/s),IfElseBenchmark (Iter/s),ParallelIfElseBenchmark (Iter/s),StringManipulation (Iter/s),ParallelStringManipulation (Iter/s),MemoryBenchmark (MB/s),ParallelMemoryBenchmark (MB/s),RandomMemoryBenchmark (MB/s),ParallelRandomMemoryBenchmark (MB/s),Scimark2Benchmark (CompositeScore),ParallelScimark2Benchmark (CompositeScore),DhrystoneBenchmark (DMIPS),ParallelDhrystoneBenchmark (DMIPS),WhetstoneBenchmark (MWIPS),ParallelWhetstoneBenchmark (MWIPS),LinpackBenchmark (MFLOPS),ParallelLinpackBenchmark (MFLOPS),HashBenchmark (Iter/s),ParallelHashBenchmark (Iter/s),Total Points,Total Time (ms)
Elbrus 2C+,500,Linux-3.14,CPython 3.5.5,2,0,11435.04,25261.58,15487.21,33688.64,54907.12,109145.38,118019.24,234139.72,14549.11,29297.75,1.40,2.81,2.80,5.57,0.34,0.67,1.71,3.41,3.08,6.15,0.30,0.59,9338.09,18860.74,821.00,11567819.61
Elbrus 1C+,985,Linux-4.19,CPython 3.7.4,1,0,32240.63,35721.74,45758.99,49417.03,133206.88,134548.67,280713.83,280162.51,47342.13,48367.32,2.83,2.82,5.01,4.98,0.73,0.73,5.12,5.12,7.46,7.50,0.64,0.64,37500.77,38908.63,1888.09,4850841.24
Elbrus 4C,750,Linux-5.4,CPython 3.7.4,4,0,26336.69,117296.16,35907.20,154540.34,106907.58,392136.10,219211.83,796368.45,37831.83,133426.05,2.27,8.11,4.28,15.43,0.58,2.32,3.98,15.94,6.05,24.25,0.51,2.01,30931.42,123442.29,3584.91,6205348.87
Elbrus 8C,1300,Linux-4.19,CPython 3.7.4,8,0,43002.15,378181.42,59518.46,512584.21,179525.21,1432586.09,371679.38,2759334.93,64028.86,508719.93,3.86,30.01,7.41,52.36,0.98,7.83,7.40,54.64,9.93,78.96,0.86,6.82,52480.43,422371.97,11477.60,3714292.47
Elbrus 8C x 4 (RTC),1300,Linux-5.4,CPython 3.5.5,32,0,72486.86,2496639.52,77309.85,2663840.47,264356.85,8111875.89,501305.27,15180690.34,46235.08,1169658.90,5.79,175.44,7.99,214.02,1.41,41.51,10.81,339.21,13.11,409.43,1.18,36.05,24133.72,710245.98,24440.34,2880833.58
Elbrus 8CB,1550,Linux-5.4,CPython 3.7.4,8,0,52319.08,467384.82,72511.44,626810.87,212258.59,1695905.86,433575.33,3473723.37,72946.17,584786.01,4.45,34.63,8.67,59.56,1.15,9.17,8.54,68.30,11.77,93.79,1.00,7.79,57130.46,451388.10,12865.43,3237765.65
Elbrus 8CB (RTC),1550,Linux-5.4,CPython 3.5.5,8,0,101333.73,910787.63,96156.75,860322.40,345604.08,2739371.71,636154.37,5061314.30,59796.18,426541.32,8.31,63.77,11.74,79.28,1.89,14.49,13.66,109.28,16.66,133.75,1.53,12.01,35147.35,253821.85,9544.90,2212591.18
Allwinner A64,1152,Linux-4.14,CPython 3.8.0,4,0,68905.01,0.00,84135.84,0.00,275458.16,0.00,493000.45,0.00,101628.11,0.00,6.47,0.00,8.06,0.00,1.49,0.00,10.24,0.00,14.97,0.00,1.15,0.00,80126.77,0.00,1974.30,1248445.80
Qualcomm 625,2000,Linux-3.18,CPython 3.9.0,8,0,75419.54,0.00,84403.15,0.00,242565.98,0.00,495522.14,0.00,105700.40,0.00,5.79,0.00,7.98,0.00,1.36,0.00,9.68,0.00,13.92,0.00,1.12,0.00,81406.36,0.00,2022.02,1307238.21
Amd A6 3650,2600,Linux-5.4,CPython 3.8.5,4,0,328537.67,1291706.26,453823.87,1747787.56,1417542.31,5263408.78,2230048.92,9048142.37,460253.00,1712199.61,36.71,128.13,35.40,121.51,7.31,25.54,47.81,171.88,74.88,246.47,5.99,20.92,285121.21,896812.92,37149.26,790019.99
Intel Core i7 2600,3400,Windows-10,CPython 3.7.3,8,0,328711.26,0.00,474891.67,0.00,1780424.53,0.00,3434936.56,0.00,562132.14,0.00,44.17,0.00,69.97,0.00,8.59,0.00,61.47,0.00,87.04,0.00,8.50,0.00,266827.66,0.00,9277.00,319142.73
Intel Core i5 5257u,2700,macOS-11.0.1,CPython 3.8.2,4,0,422977.01,0.00,555873.94,0.00,1737182.40,0.00,3232329.09,0.00,564358.89,0.00,43.56,0.00,54.81,0.00,9.23,0.00,62.61,0.00,96.34,0.00,7.09,0.00,330109.40,0.00,9948.20,324505.84
