Cpu,Elbrus 2C+,Elbrus 1C+,Elbrus 4C,Elbrus 8C,Elbrus 8C x 4 (RTC),Elbrus 8CB,Elbrus 8CB (RTC),Allwinner A64,Qualcomm 625,Amd A6 3650,Intel Core i7 2600,Intel Core i5 5257u
Frequency,500,985,750,1300,1300,1550,1550,1152,2000,2600,3400,2700
Operating System,Linux-3.14,Linux-4.19,Linux-5.4,Linux-4.19,Linux-5.4,Linux-5.4,Linux-5.4,Linux-4.14,Linux-3.18,Linux-5.4,Windows-10,macOS-11.0.1
Runtime,CPython 3.5.5,CPython 3.7.4,CPython 3.7.4,CPython 3.7.4,CPython 3.5.5,CPython 3.7.4,CPython 3.5.5,CPython 3.8.0,CPython 3.9.0,CPython 3.8.5,CPython 3.7.3,CPython 3.8.2
Threads Count,2,1,4,8,32,8,8,4,8,4,8,4
Memory Used,0,0,0,0,0,0,0,0,0,0,0,0
ArithemticsBenchmark (Iter/s),11435.04,32240.63,26336.69,43002.15,72486.86,52319.08,101333.73,68905.01,75419.54,328537.67,328711.26,422977.01
ParallelArithemticsBenchmark (Iter/s),25261.58,35721.74,117296.16,378181.42,2496639.52,467384.82,910787.63,0.00,0.00,1291706.26,0.00,0.00
MathBenchmark (Iter/s),15487.21,45758.99,35907.20,59518.46,77309.85,72511.44,96156.75,84135.84,84403.15,453823.87,474891.67,555873.94
ParallelMathBenchmark (Iter/s),33688.64,49417.03,154540.34,512584.21,2663840.47,626810.87,860322.40,0.00,0.00,1747787.56,0.00,0.00
CallBenchmark (Iter/s),54907.12,133206.88,106907.58,179525.21,264356.85,212258.59,345604.08,275458.16,242565.98,1417542.31,1780424.53,1737182.40
ParallelCallBenchmark (Iter/s),109145.38,134548.67,392136.10,1432586.09,8111875.89,1695905.86,2739371.71,0.00,0.00,5263408.78,0.00,0.00
IfElseBenchmark (Iter/s),118019.24,280713.83,219211.83,371679.38,501305.27,433575.33,636154.37,493000.45,495522.14,2230048.92,3434936.56,3232329.09
ParallelIfElseBenchmark (Iter/s),234139.72,280162.51,796368.45,2759334.93,15180690.34,3473723.37,5061314.30,0.00,0.00,9048142.37,0.00,0.00
StringManipulation (Iter/s),14549.11,47342.13,37831.83,64028.86,46235.08,72946.17,59796.18,101628.11,105700.40,460253.00,562132.14,564358.89
ParallelStringManipulation (Iter/s),29297.75,48367.32,133426.05,508719.93,1169658.90,584786.01,426541.32,0.00,0.00,1712199.61,0.00,0.00
MemoryBenchmark (MB/s),1.40,2.83,2.27,3.86,5.79,4.45,8.31,6.47,5.79,36.71,44.17,43.56
ParallelMemoryBenchmark (MB/s),2.81,2.82,8.11,30.01,175.44,34.63,63.77,0.00,0.00,128.13,0.00,0.00
RandomMemoryBenchmark (MB/s),2.80,5.01,4.28,7.41,7.99,8.67,11.74,8.06,7.98,35.40,69.97,54.81
ParallelRandomMemoryBenchmark (MB/s),5.57,4.98,15.43,52.36,214.02,59.56,79.28,0.00,0.00,121.51,0.00,0.00
Scimark2Benchmark (CompositeScore),0.34,0.73,0.58,0.98,1.41,1.15,1.89,1.49,1.36,7.31,8.59,9.23
ParallelScimark2Benchmark (CompositeScore),0.67,0.73,2.32,7.83,41.51,9.17,14.49,0.00,0.00,25.54,0.00,0.00
DhrystoneBenchmark (DMIPS),1.71,5.12,3.98,7.40,10.81,8.54,13.66,10.24,9.68,47.81,61.47,62.61
ParallelDhrystoneBenchmark (DMIPS),3.41,5.12,15.94,54.64,339.21,68.30,109.28,0.00,0.00,171.88,0.00,0.00
WhetstoneBenchmark (MWIPS),3.08,7.46,6.05,9.93,13.11,11.77,16.66,14.97,13.92,74.88,87.04,96.34
ParallelWhetstoneBenchmark (MWIPS),6.15,7.50,24.25,78.96,409.43,93.79,133.75,0.00,0.00,246.47,0.00,0.00
LinpackBenchmark (MFLOPS),0.30,0.64,0.51,0.86,1.18,1.00,1.53,1.15,1.12,5.99,8.50,7.09
ParallelLinpackBenchmark (MFLOPS),0.59,0.64,2.01,6.82,36.05,7.79,12.01,0.00,0.00,20.92,0.00,0.00
HashBenchmark (Iter/s),9338.09,37500.77,30931.42,52480.43,24133.72,57130.46,35147.35,80126.77,81406.36,285121.21,266827.66,330109.40
ParallelHashBenchmark (Iter/s),18860.74,38908.63,123442.29,422371.97,710245.98,451388.10,253821.85,0.00,0.00,896812.92,0.00,0.00
Total Points,821.00,1888.09,3584.91,11477.60,24440.34,12865.43,9544.90,1974.30,2022.02,37149.26,9277.00,9948.20
Total Time (ms),11567819.61,4850841.24,6205348.87,3714292.47,2880833.58,3237765.65,2212591.18,1248445.80,1307238.21,790019.99,319142.73,324505.84
