Cpu,Elbrus  8C,Mediatek MT6589,Qualcomm 625,Intel Atom x5 Z8350,Intel Atom x5 Z8350,Intel Core i3 M330,AMD A6 3650,AMD A6 3650,Intel Core i7 2600
Frequency,1300,1200,2000,1440,1440,2133,2600,2600,3400
Operating System,Linux e2k,Linux armv7l,Linux aarch64,Win64,Win32,Win64,Linux x86_64,Linux x86_64,Win32
Runtime,Firefox 52,Chrome 80,Firefox 82,Firefox 52,Chrome 86,Firefox 52,Firefox 82,Chrome 86,Firefox 78
Threads Count,0,0,0,0,0,0,0,0,0
Memory Used,0,0,0,0,0,0,0,0,0
ArithemticsBenchmark,10374.16,6704.51,10734.22,9633.60,11390.82,15846.19,35398.23,1044.81,38744.67
MathBenchmark,1292.14,349.92,692.10,1365.89,703.10,2138.01,3235.15,827.88,6643.19
CallBenchmark,21620.69,91831.58,46603.75,135749.68,310462.59,174018.97,163505.56,5188.07,219804.37
IfElseBenchmark,72077.27,51081.65,67220.11,85422.63,75111.73,177446.54,365697.57,2153.32,344115.62
StringManipulation,29.32,54.57,81.34,36.32,127.14,73.97,182.86,3133.62,372.63
MemoryBenchmark,656.01,407.12,1737.73,2220.27,1630.10,2579.34,4075.55,2674.02,6570.34
RandomMemoryBenchmark,10.49,41.32,21.13,17.09,95.33,24.43,66.93,484.63,96.32
Scimark2Benchmark,138.61,52.47,120.88,326.22,245.01,394.02,432.02,4331.44,644.04
DhrystoneBenchmark,209.05,146.00,243.77,241.80,334.24,346.01,482.58,3703.91,972.16
WhetstoneBenchmark,339.34,144.74,1011.57,752.86,281.18,1196.69,1492.60,757.60,3394.32
LinpackBenchmark,90.47,45.91,110.51,345.45,250.88,405.78,373.86,5030.93,738.16
HashBenchmark,5.84,6.23,10.84,6.64,12.13,12.40,22.07,372.25,41.12
Total Points,6389.33,4615.57,8808.64,14304.39,14339.70,19129.76,25711.97,29702.47,42128.65
Total Time (ms),3075216,1935500,1814357,2041882,905731,1354667,615131,388115,422627
