CPU,Elbrus 8C,AMD A6 3650,Core i7 2600,Atom X5-Z8350,Core i3 M330,Qualcomm 625,Allwinner A64
OS,Linux 4.19,Linux 5.4,Windows 10,Windows 10,Windows 10,Android 7,Linux 4.14
Runtime,Firefox 52,Firefox 81,Firefox 81,Chrome 85,Chrome 85,Firefox 81,Firefox 81
MemoryBenchmark,655.06,"4476.48","6350.50","1501.43","1733.91","1739.09",996.74
RandomMemoryBenchmark,20.97,132.43,187.39,193.08,344.14,42.17,19.61
Scimark2Benchmark,"1387.60","4271.13","6335.21","2412.89","3378.66","1227.36",699.49
DhrystoneBenchmark,822.33,"2311.75","3619.98","1501.82","2569.53",931.43,473.48
WhetstoneBenchmark,368.97,"2091.21","2784.54",297.19,588.93,"1006.00",447.75
ArithemticsBenchmark,310.88,"1059.45","1140.97",348.73,723.30,321.36,183.63
MathBenchmark,644.43,"1618.67","3331.11",358.42,612.93,345.75,518.28
CallBenchmark,215.94,"1618.52","2262.96","3114.29","3134.30",427.03,244.66
IfElseBenchmark,719.99,"3743.22","3409.48",758.09,"1835.70",676.84,391.25
StringManipulation,290.16,"1877.51","4473.87","1257.04","2054.65",763.02,669.67
HashBenchmark,58.50,225.58,407.07,128.87,272.45,105.00,58.79
Total Points,"5494.83","23425.94","34303.09","11871.85","17248.52","7585.06","4703.36"
Total Time (sec),3016,599,412,864,506,1781,3159
