Cpu,Elbrus 1C+,Elbrus 4C,Elbrus  8C,Mediatek MT6589,Qualcomm 625,Intel Atom x5 Z8350,Intel Atom x5 Z8350,Intel Core i3 M330,Intel Core i3 M330,AMD A6 3650,Intel Core i7 2600
Frequency,1000,750,1300,1200,2000,1440,1440,2133,2133,2600,3400
Operating System,Linux e2k,Linux e2k,Linux e2k,Linux armv7l,Linux aarch64,Windows 10,Windows 10,Windows 10,Windows 10,Linux x86_64,Windows 10
Runtime,Firefox 52,Firefox 52,Firefox 52,Chrome 80,Firefox 82,Firefox 52,Chrome 86,Firefox 52,Chrome 86,Chrome 86,Firefox 78
Threads Count,0,0,0,0,0,0,0,0,0,0,0
Memory Used,0,0,0,0,0,0,0,0,0,0,0
ArithemticsBenchmark (Iter/s),4866969.50,5183674.88,10373443.98,6153972.39,10266940.45,8792754.77,11390.82,23142791.02,24057738.57,34810860.99,38333759.26
MathBenchmark (Iter/s),515044.45,598845.43,1291889.52,342322.14,683449.92,1249671.96,703.10,3119054.30,1464193.16,1635657.33,6785411.37
CallBenchmark (Iter/s),9373916.14,10740215.66,21619751.81,91328371.16,46607009.69,125219133.48,310462.59,256476019.49,450450450.45,508259212.20,229016374.67
IfElseBenchmark (Iter/s),30470154.48,35756427.22,72077266.83,51692943.91,66183526.92,78391408.30,75111.73,205086136.18,192678227.36,214938205.27,345363495.08
StringManipulation (Iter/s),11884.05,15543.98,29716.62,53112.95,80688.11,35087.23,127.14,98204.82,239188.67,325584.42,378415.20
MemoryBenchmark (MB/s),302.13,317.47,656.26,403.10,1736.14,2177.53,1630.10,3798.93,2110.51,2549.67,6636.99
RandomMemoryBenchmark (MB/s),4.40,6.22,10.26,41.37,21.16,16.84,95.33,33.80,194.29,266.66,90.17
Scimark2Benchmark (CompositeScore),56.49,80.04,138.70,52.60,122.38,322.08,245.01,453.19,355.89,424.55,622.52
DhrystoneBenchmark (DMIPS),79.04,119.65,201.87,142.55,229.43,266.56,334.24,460.09,735.81,805.65,961.65
WhetstoneBenchmark (MWIPS),29.02,112.34,336.34,140.40,1005.18,759.26,281.18,1356.44,757.73,759.76,3331.58
LinpackBenchmark (MFLOPS),29.34,48.00,91.94,46.25,110.31,343.87,250.88,556.91,421.47,499.10,672.54
HashBenchmark (Iter/s),2596.20,3675.38,5876.17,6233.29,10459.92,6517.23,12.13,15157.03,31215.86,39248.78,40892.27
Total Points,2461.18,3313.40,6377.03,4564.32,8717.34,14037.03,14339.70,25167.38,24562.92,29044.26,41425.68
Total Time (ms),7345270,5306444,3114290,1955843,1830463,2095475,905731,1018819,450947,381312,442546
