Cpu,Architecture,Frequency,Operating System,Runtime,Threads Count,Memory Used,ArithemticsBenchmark (Iter/s),MathBenchmark (Iter/s),CallBenchmark (Iter/s),IfElseBenchmark (Iter/s),StringManipulation (Iter/s),MemoryBenchmark (MB/s),RandomMemoryBenchmark (MB/s),Scimark2Benchmark (CompositeScore),DhrystoneBenchmark (DMIPS),WhetstoneBenchmark (MWIPS),LinpackBenchmark (MFLOPS),HashBenchmark (Iter/s),Total Points,Total Time (ms)
Elbrus 1C+,e2k,1000,Linux e2k,Firefox 52,1,0,4866969.50,515044.45,9373916.14,30470154.48,11884.05,302.13,4.40,56.49,79.04,29.02,29.34,2596.20,2461.18,7345270
Elbrus 4C,e2k,750,Linux e2k,Firefox 52,1,0,5183674.88,598845.43,10740215.66,35756427.22,15543.98,317.47,6.22,80.04,119.65,112.34,48.00,3675.38,3313.40,5306444
Elbrus 8C,e2k,1300,Linux e2k,Firefox 52,1,0,10373443.98,1291889.52,21619751.81,72077266.83,29716.62,656.26,10.26,138.70,201.87,336.34,91.94,5876.17,6377.03,3114290
Mediatek MT6589,arm,1200,Linux armv7l,Chrome 80,1,0,6153972.39,342322.14,91328371.16,51692943.91,53112.95,403.10,41.37,52.60,142.55,140.40,46.25,6233.29,4564.32,1955843
Qualcomm 625,arm,2000,Linux aarch64,Firefox 82,1,0,10266940.45,683449.92,46607009.69,66183526.92,80688.11,1736.14,21.16,122.38,229.43,1005.18,110.31,10459.92,8717.34,1830463
Intel Pentium 4 2800,x86,2800,Linux i686,Firefox 80,0,0,13153856.27,1547053.64,56697377.75,149970006.00,119345.98,2955.11,26.78,196.60,225.43,85.24,156.18,9427.29,12045.99,1405446
Intel Atom x5 Z8350,x86-64,1440,Windows 10,Firefox 52,1,0,8792754.77,1249671.96,125219133.48,78391408.30,35087.23,2177.53,16.84,322.08,266.56,759.26,343.87,6517.23,14037.03,2095475
Intel Core i3 M330,x86-64,2133,Windows 10,Firefox 52,1,0,23142791.02,3119054.30,256476019.49,205086136.18,98204.82,3798.93,33.80,453.19,460.09,1356.44,556.91,15157.03,25167.38,1018819
Intel Core i3 M330,x86-64,2133,Windows 10,Chrome 86,1,0,24057738.57,1464193.16,450450450.45,192678227.36,239188.67,2110.51,194.29,355.89,735.81,757.73,421.47,31215.86,24562.92,450947
AMD A6 3650,x86-64,2600,Linux x86_64,Chrome 86,1,0,34810860.99,1635657.33,508259212.20,214938205.27,325584.42,2549.67,266.66,424.55,805.65,759.76,499.10,39248.78,29044.26,381312
Intel Core i7 2600,x86-64,3400,Windows 10,Firefox 78,1,0,38333759.26,6785411.37,229016374.67,345363495.08,378415.20,6636.99,90.17,622.52,961.65,3331.58,672.54,40892.27,41425.68,442546
