Cpu Name,Mediatek MT6589,Qualcomm 625,Intel Atom X5 Z8350,Amd A6-3650,Amd A6-3650,Intel Core i7 2600,Elbrus 8C
Frequency,1200,2000,1440,2600,2600,3400,1300
Operating System,Linux armv7l,Linux aarch64,Win32,Linux x86_64,Linux x86_64,Win32,Linux e2k
Runtime,Chrome 80,Firefox 82,Chrome 86,Firefox 82,Chrome 86,Firefox 78,Firefox 52
Threads Count,0,0,0,0,0,0,0
Memory Used,0,0,0,0,0,0,0
ArithemticsBenchmark,6704.51,10734.22,11390.82,35398.23,33704.08,38744.67,10374.16
MathBenchmark,349.92,692.10,703.10,3235.15,1641.73,6643.19,1292.14
CallBenchmark,91831.58,46603.75,310462.59,163505.56,507485.41,219804.37,21620.69
IfElseBenchmark,51081.65,67220.11,75111.73,365697.57,213561.13,344115.62,72077.27
StringManipulation,54.57,81.34,127.14,182.86,303.82,372.63,29.32
MemoryBenchmark,407.12,1737.73,1630.10,4075.55,2653.24,6570.34,656.01
RandomMemoryBenchmark,41.32,21.13,95.33,66.93,243.50,96.32,10.49
Scimark2Benchmark,52.47,120.88,245.01,432.02,432.47,644.04,138.61
DhrystoneBenchmark,146.00,243.77,334.24,482.58,856.32,972.16,209.05
WhetstoneBenchmark,144.74,1011.57,281.18,1492.60,772.06,3394.32,339.34
LinpackBenchmark,45.91,110.51,250.88,373.86,489.31,738.16,90.47
HashBenchmark,6.23,10.84,12.13,22.07,36.43,41.12,5.84
Total Points,4615.57,8808.64,14339.70,25711.97,29000.33,42128.65,6389.33
Total Time (ms),1935500,1814357,905731,615131,390345,422627,3075216
