Cpu Name;Elbrus 1C+;Elbrus 8C;Elbrus 8C (804 - 4 CPU);Elbrus 8CB;Allwinner A64;Intel Atom x5 Z8350;AMD A6-3650;Intel Core i7 2600;Intel Core i7 4770k
Frequency;1000;1300;1300;1550;1152;1440;2600;3400;3500
Operating System;Linux 4.9.0-4.3-e1cp e2k;Linux 4.19.0-1.4-e8c e2k;Linux 4.9.0-2.7-e8c e2k;Linux 5.4.0-1.4-e8c2 e2k;Linux 4.14.44-sunxi64 aarch64;Windows 10 10.0 amd64;Linux 5.4.0-51-generic amd64;Windows 10 10.0 amd64;Linux 4.15.0-109-generic amd64
Runtime;Java Version 1.8.0_152;Java Version 1.8.0_152;Java Version 1.8.0_152;Java Version 1.8.0_152;Java Version 1.8.0_272;Java Version 1.8.0_272;Java Version 14.0.1;Java Version 1.8.0_202;Java Version 1.8.0_201
Threads Count;1;8;32;8;4;4;4;8;8
Memory Used;36 072 616.00 ;240 655 456.00 ;433 764 288.00 ;159 422 720.00 ;114 879 184.00 ;266 168 272.00 ;31 043 632.00 ;196 262 736.00 ;336 222 472.00 
ArithemticsBenchmark (Iter/s);13 627 691.47 ;19 063 353.88 ;18 503 669.89 ;22 747 952.68 ;18 544 847.62 ;36 977 690.13 ;69 541 029.21 ;140 712 945.59 ;196 850 393.70 
ParallelArithemticsBenchmark (Iter/s);38 875 210.57 ;633 585 978.89 ;1 134 600 198.61 ;773 544 802.58 ;97 855 374.26 ;167 780 353.47 ;288 584 642.20 ;639 084 103.66 ;674 773 421.70 
MathBenchmark (Iter/s);1 385 694.09 ;1 874 414.25 ;1 885 333.99 ;2 158 708.23 ;391 791.96 ;330 145.23 ;3 160 406.43 ;1 267 708.30 ;1 455 328.69 
ParallelMathBenchmark (Iter/s);1 415 448.20 ;14 865 611.27 ;63 396 301.69 ;17 447 712.41 ;1 474 953.58 ;1 247 099.21 ;10 454 520.81 ;6 701 590.53 ;7 077 023.78 
CallBenchmark (Iter/s);73 634 991.35 ;106 700 810.93 ;99 765 550.96 ;127 307 447.49 ;94 206 311.82 ;118 856 599.51 ;97 503 900.16 ;287 894 054.99 ;322 424 633.24 
ParallelCallBenchmark (Iter/s);73 559 159.95 ;835 284 149.11 ;3 169 748 998.63 ;1 016 013 686.90 ;299 277 992.26 ;460 537 678.50 ;330 544 692.47 ;1 954 847 641.75 ;2 433 257 789.51 
IfElseBenchmark (Iter/s);68 191 891.98 ;117 896 722.47 ;92 468 445.14 ;140 656 867.57 ;164 136 233.07 ;166 514 028.81 ;367 647 058.82 ;508 259 212.20 ;643 293 663.56 
ParallelIfElseBenchmark (Iter/s);68 212 824.01 ;739 072 412.88 ;2 940 588 592.65 ;1 013 614 477.99 ;583 870 643.86 ;648 918 263.37 ;1 278 089 887.08 ;2 689 349 530.32 ;3 598 024 309.45 
StringManipulation (Iter/s);36 722.85 ;55 228.48 ;38 223.38 ;61 507.42 ;57 096.53 ;88 026.62 ;678 886.63 ;393 917.91 ;529 661.02 
ParallelStringManipulation (Iter/s);36 554.78 ;403 237.68 ;1 086 542.36 ;449 582.46 ;157 889.13 ;320 266.93 ;1 842 196.80 ;1 630 562.14 ;1 947 501.85 
MemoryBenchmark (MB/s);695.00 ;1 756.22 ;932.41 ;2 220.39 ;1 427.73 ;2 747.71 ;6 228.13 ;12 571.97 ;17 115.21 
ParallelMemoryBenchmark (MB/s);690.46 ;12 718.49 ;27 791.34 ;15 515.92 ;3 375.79 ;8 056.44 ;18 888.03 ;39 749.37 ;51 255.15 
