Cpu,Elbrus 1C+,ELbrus 4C,Elbrus 8C,Elbrus 8C,Elbrus 8CB,Allwinner A64,Intel Atom X5 Z8350,Intel Core i3 M330,Amd A6 3650,Intel Core i7 2600
Frequency,985,750,1300,1300,1550,1152,1440,2130,2660,3400
Operating System,Linux 4.9.0-4.16-e1cp e2k,Linux 5.4.0-1.9-nn-e2s e2k,Linux 4.19.0-1.4-e8c e2k,Linux 4.9.0-2.7-e8c e2k,Linux 5.4.0-1.4-e8c2 e2k,Linux 4.14.44-sunxi64 aarch64,Windows 10 10.0 amd64,Windows 10 10.0 x86,Linux 5.4.0-51-generic amd64,Windows 10 10.0 amd64
Runtime,Java Version 1.8.0_152,Java Version 11.0.8-internal,Java Version 1.8.0_152,Java Version 1.8.0_152,Java Version 1.8.0_152,Java Version 1.8.0_272,Java Version 1.8.0_272,Java Version 1.8.0_241,Java Version 14.0.1,Java Version 1.8.0_202
Threads Count,1,4,8,32,8,4,4,4,4,8
Memory Used,176527936,61069752,222075000,433764288,383832280,25075624,249701200,35211312,322475552,115194336
ArithemticsBenchmark (Iter/s),14084507.04,10844026.75,19063353.88,18503669.89,22746227.92,18545994.07,42200028.13,6328045.90,69268067.42,148367952.52
ParallelArithemticsBenchmark (Iter/s),59654006.76,126482315.66,630504916.98,1134600198.61,770935893.79,97825437.45,189283299.83,65766953.16,303266026.57,708591874.95
MathBenchmark (Iter/s),1410914.84,242628.93,1879769.92,1885333.99,2158731.53,397912.55,373037.59,588727.05,3149457.51,1271463.90
ParallelMathBenchmark (Iter/s),1429776.53,975082.90,14893568.14,63396301.69,17379088.04,1503341.31,1260210.88,1078083.44,9858073.04,6411424.34
CallBenchmark (Iter/s),79529187.21,57633565.79,106706503.76,99765550.96,127307447.49,94800208.56,133200133.20,69372181.76,96609023.28,289226319.60
ParallelCallBenchmark (Iter/s),79211057.86,230426442.32,833761379.04,3169748998.63,1018516369.50,307172477.80,467699579.83,207423728.25,309291725.85,2170887849.38
IfElseBenchmark (Iter/s),86858334.06,83173916.66,117917575.61,92468445.14,140656867.57,163826998.69,188803927.12,79456517.42,364497904.14,537634408.60
ParallelIfElseBenchmark (Iter/s),87263842.23,332578222.36,834238373.82,2940588592.65,1050523068.80,602330368.29,656425350.78,116464424.42,1242165135.73,3240100141.09
StringManipulation (Iter/s),37923.03,56232.22,55640.25,38223.38,61003.88,58383.93,100076.06,81192.56,569151.96,413223.14
ParallelStringManipulation (Iter/s),37614.06,219807.50,407930.70,1086542.36,452579.32,157021.32,351422.04,157932.73,1839468.95,1604462.28
MemoryBenchmark (MB/s),1428.41,591.33,1781.32,932.41,2215.20,1414.20,3208.80,3644.44,6541.20,12408.28
ParallelMemoryBenchmark (MB/s),1421.74,2332.13,13041.62,27791.34,15626.11,3444.69,8063.84,7071.83,19806.14,36045.20
RandomMemoryBenchmark (MB/s),1567.13,1013.72,2493.91,829.74,3057.80,2163.59,4526.81,903.51,9502.81,15052.56
ParallelRandomMemoryBenchmark (MB/s),1687.94,4040.12,17389.90,22774.25,21114.62,4758.47,14322.92,1642.84,30308.64,54289.11
Scimark2Benchmark (CompositeScore),224.19,179.63,318.44,306.78,376.73,161.04,458.35,392.38,964.15,1691.88
ParallelScimark2Benchmark (CompositeScore),226.95,717.49,2503.60,9766.81,3014.79,594.62,1600.96,909.01,2741.56,7780.90
DhrystoneBenchmark (DMIPS),2544.00,1244.00,3624.00,2714.00,4009.00,2009.00,4025.00,2636.00,6152.00,16913.00
ParallelDhrystoneBenchmark (DMIPS),2525.00,4460.00,27261.00,48103.00,31329.00,9250.00,13806.00,6333.00,22525.00,76954.00
WhetstoneBenchmark (MWIPS),73.59,206.44,473.79,455.31,571.83,307.32,415.90,224.64,884.77,1104.82
ParallelWhetstoneBenchmark (MWIPS),360.01,835.30,3733.25,14555.09,4572.88,1213.67,1453.14,523.44,2532.90,7055.01
LinpackBenchmark (MFLOPS),74.02,52.34,148.38,120365.91,153.94,131.31,462.61,320.88,783.65,1622.03
ParallelLinpackBenchmark (MFLOPS),74.82,200.56,809.79,180095.92,778.66,240.04,535.26,728.12,1222.14,2105.06
HashBenchmark (Iter/s),132564.46,100310.96,199421.68,0,215285.25,250062.52,244259.89,119381.60,515995.87,770119.37
ParallelHashBenchmark (Iter/s),137174.21,314511.92,444746.27,0,528195.80,565734.62,489755.80,197214.41,1325187.51,1438194.80
Total Points,46459.99,67003.89,277927.23,539095.56,325351.36,102940.94,186768.12,89179.34,361484.85,836889.36
Total Time (ms),1052054,2554353,814795,1260408,759992,1707228,1589090,1844140,388461,662523
