Cpu,Architecture,Frequency (MHz),Operating System,Runtime,Threads Count,Memory Used,ArithemticsBenchmark (Iter/s),ParallelArithemticsBenchmark (Iter/s),MathBenchmark (Iter/s),ParallelMathBenchmark (Iter/s),CallBenchmark (Iter/s),ParallelCallBenchmark (Iter/s),IfElseBenchmark (Iter/s),ParallelIfElseBenchmark (Iter/s),StringManipulation (Iter/s),ParallelStringManipulation (Iter/s),MemoryBenchmark (MB/s),ParallelMemoryBenchmark (MB/s),RandomMemoryBenchmark (MB/s),ParallelRandomMemoryBenchmark (MB/s),Scimark2Benchmark (CompositeScore),ParallelScimark2Benchmark (CompositeScore),DhrystoneBenchmark (DMIPS),ParallelDhrystoneBenchmark (DMIPS),WhetstoneBenchmark (MWIPS),ParallelWhetstoneBenchmark (MWIPS),LinpackBenchmark (MFLOPS),ParallelLinpackBenchmark (MFLOPS),HashBenchmark (Iter/s),ParallelHashBenchmark (Iter/s),Total Points,Total Time (ms)
Elbrus 1C+ 985,e2k,985,Linux 4.9,Java 1.8.0_152,1,176527936,14084507.04,59654006.76,1410914.84,1429776.53,79529187.21,79211057.86,86858334.06,87263842.23,37923.03,37614.06,1428.41,1421.74,1567.13,1687.94,224.19,226.95,2544.00,2525.00,73.59,360.01,74.02,74.82,132564.46,137174.21,46459.99,1052054
ELbrus 4C 750,e2k,750,Linux 5.4,Java 11.0.8-internal,4,61069752,10844026.75,126482315.66,242628.93,975082.90,57633565.79,230426442.32,83173916.66,332578222.36,56232.22,219807.50,591.33,2332.13,1013.72,4040.12,179.63,717.49,1244.00,4460.00,206.44,835.30,52.34,200.56,100310.96,314511.92,67003.89,2554353
Elbrus 8C 1300,e2k,1300,Linux 4.19,Java 1.8.0_152,8,222075000,19063353.88,630504916.98,1879769.92,14893568.14,106706503.76,833761379.04,117917575.61,834238373.82,55640.25,407930.70,1781.32,13041.62,2493.91,17389.90,318.44,2503.60,3624.00,27261.00,473.79,3733.25,148.38,809.79,199421.68,444746.27,277927.23,814795
Elbrus 8C 1200,e2k,1200,Linux 4.9,Java 1.8.0_152,32,433764288,18503669.89,1134600198.61,1885333.99,63396301.69,99765550.96,3169748998.63,92468445.14,2940588592.65,38223.38,1086542.36,932.41,27791.34,829.74,22774.25,306.78,9766.81,2714.00,48103.00,455.31,14555.09,120365.91,180095.92,0,0,539095.56,1260408
Elbrus 8CB 1550,e2k,1550,Linux 5.4,Java 1.8.0_152,8,383832280,22746227.92,770935893.79,2158731.53,17379088.04,127307447.49,1018516369.50,140656867.57,1050523068.80,61003.88,452579.32,2215.20,15626.11,3057.80,21114.62,376.73,3014.79,4009.00,31329.00,571.83,4572.88,153.94,778.66,215285.25,528195.80,325351.36,759992
Allwinner A64,arm,1152,Linux 4.14,Java 1.8.0_272,4,25075624,18545994.07,97825437.45,397912.55,1503341.31,94800208.56,307172477.80,163826998.69,602330368.29,58383.93,157021.32,1414.20,3444.69,2163.59,4758.47,161.04,594.62,2009.00,9250.00,307.32,1213.67,131.31,240.04,250062.52,565734.62,102940.94,1707228
Intel Pentium 4 2800,x86,2800,Linux 5.4,Java 1.8.0_275,1,5849432,3759775.42,16729868.39,428304.04,431632.63,104444096.30,104854776.14,72774907.21,72513686.96,102435.93,101378.75,2365.14,2798.09,6069.15,6286.85,403.24,402.49,4306.00,4379.00,425.90,426.83,216.13,217.82,275976.27,282845.42,90054.68,1456779
Intel Atom X5 Z8350,x86-64,1440,Windows 10,Java 1.8.0_272,4,249701200,42200028.13,189283299.83,373037.59,1260210.88,133200133.20,467699579.83,188803927.12,656425350.78,100076.06,351422.04,3208.80,8063.84,4526.81,14322.92,458.35,1600.96,4025.00,13806.00,415.90,1453.14,462.61,535.26,244259.89,489755.80,186768.12,1589090
Intel Core i3 M330,x86-64,2130,Windows 10,Java 1.8.0_241,4,35211312,6328045.90,65766953.16,588727.05,1078083.44,69372181.76,207423728.25,79456517.42,116464424.42,81192.56,157932.73,3644.44,7071.83,903.51,1642.84,392.38,909.01,2636.00,6333.00,224.64,523.44,320.88,728.12,119381.60,197214.41,89179.34,1844140
Amd A6 3650,x86-64,2660,Linux 5.4,Java 14.0.1,4,322475552,69268067.42,303266026.57,3149457.51,9858073.04,96609023.28,309291725.85,364497904.14,1242165135.73,569151.96,1839468.95,6541.20,19806.14,9502.81,30308.64,964.15,2741.56,6152.00,22525.00,884.77,2532.90,783.65,1222.14,515995.87,1325187.51,361484.85,388461
Intel Core i7 2600,x86-64,3400,Windows 10,Java 1.8.0_202,8,115194336,148367952.52,708591874.95,1271463.90,6411424.34,289226319.60,2170887849.38,537634408.60,3240100141.09,413223.14,1604462.28,12408.28,36045.20,15052.56,54289.11,1691.88,7780.90,16913.00,76954.00,1104.82,7055.01,1622.03,2105.06,770119.37,1438194.80,836889.36,662523
Elbrus 16C 2000,e2k,2000,Linux 5.4.0-3.9-e16c e2k,Java Version 1.8.0_252,16,369712608,29354207.44,3041600194.48,2661379.39,45093539.57,165070980.52,2639801005.72,199501246.88,3187402794.22,72734.68,1061529.91,6605.77,83317.92,4576.67,65350.04,481.14,7699.26,3952.00,60823.00,727.22,11628.35,2408.18,3201.02,300030.00,490339.68,836138.10,618147
Elbrus 16C 2000,x86 -> e2k,2000,Linux 5.4.0-3.9-e16c amd64,Java Version 17.0.1,16,327683280,190234622.70,2232640068.40,2022571.90,32524294.89,81241368.10,1299087606.18,657030223.39,10378172024.97,283270.07,1789605.38,3540.98,49429.47,6055.41,91177.89,572.99,9247.06,2926.00,68766.00,703.62,11591.95,344.23,1630.90,247494.12,2165994.23,923243.45,547417
